DATE,DBS_Return,SPH_Return,GE_Return,SIA_Return
1/1/1995,0.0152,0,0.06,0.0057
2/1/1995,-0.005,0.0065,-0.0566,-0.0395
3/1/1995,0.0231,-0.0128,-0.004,-0.0588
4/1/1995,0.0297,0.0359,0.106,-0.0062
5/1/1995,-0.0673,-0.0385,0.0146,-0.0063
6/1/1995,0.0155,-0.024,0.0935,-0.0064
7/1/1995,-0.002,0,-0.0132,0.013
8/1/1995,-0.0103,-0.0082,0.012,-0.0128
9/1/1995,-0.0104,0.0083,-0.0231,0.0065
10/1/1995,0.0105,0.041,-0.0034,0.0097
11/1/1995,0.0777,0.1024,0.0237,0.0387
12/1/1995,0.0192,0.0525,0.0795,0.0249
1/1/1996,-0.0094,0.0483,0.0061,0.0182
2/1/1996,-0.0714,-0.0197,-0.0244,-0.0357
3/1/1996,-0.0154,0.0201,0.0281,-0.0124
4/1/1996,-0.0073,-0.012,0.0076,0
5/1/1996,0.0212,-0.0201,-0.0454,0.0125
6/1/1996,-0.0725,-0.0617,-0.0476,-0.0432
7/1/1996,0.0089,-0.0219,-0.0667,0.0263
8/1/1996,0.0223,-0.0075,-0.0557,-0.0192
9/1/1996,-0.0382,-0.0451,-0.072,-0.0392
10/1/1996,0,0.0158,0.0204,0.017
11/1/1996,0.0341,0.0155,-0.02,-0.0203
12/1/1996,0.0055,0.0027,-0.0122,0.0069
1/1/1997,0.0055,-0.0155,0.0372,-0.0068
2/1/1997,-0.0272,-0.0315,-0.1673,-0.0276
3/1/1997,-0.0447,0.0196,-0.0383,0.0213
4/1/1997,0.0445,0.0081,-0.0234,0.0069
5/1/1997,-0.0113,-0.04,-0.1949,0
6/1/1997,-0.0114,0.05,0.1465,0.031
7/1/1997,0.2012,0.127,-0.1166,0.1448
8/1/1997,0.0194,0.0634,-0.0226,0.012
9/1/1997,-0.1619,-0.1523,-0.1613,-0.125
10/1/1997,0.1477,0.2344,-0.1154,0.0714
11/1/1997,0.0198,0.0886,-0.1217,0.0385
12/1/1997,-0.2233,-0.0698,-0.1089,-0.142
1/1/1998,0.125,0.3206,0.3222,0.259
2/1/1998,0.0804,-0.0216,0.1765,0.0629
3/1/1998,-0.0774,-0.0464,-0.0714,-0.1344
4/1/1998,-0.0206,-0.2171,-0.1807,-0.1056
5/1/1998,-0.06,-0.1752,-0.0952,-0.0972
6/1/1998,-0.0496,0.0796,-0.0527,-0.0308
7/1/1998,-0.3448,0.0246,-0.1555,-0.1463
8/1/1998,-0.0605,0.12,-0.0868,0.1143
9/1/1998,0.4233,0.009,0.2971,0.0684
10/1/1998,0.2783,0.2411,0.0224,0.124
11/1/1998,0.0884,0.0286,-0.0164,0.0288
12/1/1998,0.0312,0.0869,0.1111,-0.007
1/1/1999,0.0303,0.0208,-0.02,0.0352
2/1/1999,0.2118,-0.0255,0.0816,0.1565
3/1/1999,0.1845,0.3163,0.3491,0.2
4/1/1999,0.1393,-0.028,0.5594,0.2059
5/1/1999,0.3158,0.1934,0.0238,0.2032
6/1/1999,0.0494,0.0276,-0.1057,0.0135
7/1/1999,0.0657,-0.0604,-0.0222,0.0267
8/1/1999,-0.0155,-0.0429,-0.2121,0.0893
9/1/1999,-0.0105,0.0634,0.2051,0.0602
10/1/1999,0.1596,0.1053,-0.0479,-0.0284
11/1/1999,0.2523,0.146,0.0838,0.1118
12/1/1999,-0.1648,-0.0608,-0.1134,-0.0582
1/1/2000,-0.0658,-0.012,-0.0523,-0.1011
2/1/2000,0.061,-0.1727,0.3435,0
3/1/2000,0.0398,0.2321,0.1233,0.1062
4/1/2000,-0.257,-0.2186,-0.0963,-0.1469
5/1/2000,0.2832,0.0345,0.0833,0.1325
6/1/2000,-0.0586,0.0926,0.0086,0.0351
7/1/2000,0.0019,-0.061,0.0593,-0.0514
8/1/2000,-0.0769,-0.0578,-0.0726,-0.006
9/1/2000,0.0781,-0.0383,0.0087,0.0667
10/1/2000,-0.0386,0.0877,0.0086,-0.0312
11/1/2000,-0.0151,-0.0623,-0.0513,0.0178
12/1/2000,0,-0.0418,0.0451,-0.093
1/1/2001,0.0051,-0.0435,0.2759,-0.0513
